"year","offs_site","par1_site","n_mum"
2012,"Magbangon","Poroc Rose",1
2012,"Palanas","Palanas",1
2012,"Poroc Rose","San Agustin",1
2012,"Poroc San Flower","Sitio Baybayon",1
2013,"Cabatoan","Palanas",1
2013,"Elementary School","Wangag",1
2013,"Haina","Sitio Baybayon",1
2013,"Palanas","Cabatoan",1
2013,"Palanas","Palanas",1
2013,"Poroc Rose","Wangag",2
2013,"Poroc San Flower","Cabatoan",2
2013,"Visca","Palanas",3
2013,"Wangag","Haina",1
2013,"Wangag","Palanas",2
2014,"Palanas","Palanas",5
2014,"Sitio Baybayon","Sitio Baybayon",1
2014,"Wangag","Hicgop South",1
2014,"Wangag","Sitio Baybayon",1
2014,"Wangag","Wangag",2
2015,"Cabatoan","Cabatoan",2
2015,"Cabatoan","Wangag",1
2015,"Palanas","Magbangon",2
2015,"Sitio Baybayon","Cabatoan",1
2015,"Wangag","Wangag",1
